BATHRM,HF_BATHRM,HEAT,AC,BEDRM,AYB,EYB,PRICE,GBA,STYLE,STRUCT,GRADE,CNDTN,EXTWALL,ROOF,INTWALL,KITCHENS,FIREPLACES,USECODE,LANDAREA,WARD,SALEYEAR,RMDL
3,1,Hot Water Rad,1,4,1906.0,1972,1050000.0,2401.0,3 Story,Row Inside,Very Good,3,Common Brick,Metal- Sms,Hardwood,2,1,24,1627,Ward 2,2011.0,1
3,1,Warm Cool,1,3,1917.0,1967,1325000.0,2692.0,2 Story,Row Inside,Above Average,5,Stucco,Metal- Sms,Hardwood,2,1,24,1815,Ward 2,2011.0,1
3,1,Warm Cool,1,3,1908.0,1967,1240000.0,1662.0,2 Story,Row Inside,Above Average,5,Common Brick,Metal- Sms,Hardwood,1,0,11,1424,Ward 2,2010.0,1
2,1,Forced Air,1,3,1880.0,1984,1065000.0,1600.0,2 Story,Semi-Detached,Above Average,5,Common Brick,Built Up,Hardwood,1,1,13,2090,Ward 2,2012.0,1
2,1,Hot Water Rad,1,3,1880.0,1967,1100000.0,1958.0,2 Story,Single,Above Average,4,Common Brick,Built Up,Hardwood,1,2,12,2090,Ward 2,2012.0,1
3,1,Forced Air,1,3,1900.0,1984,1210000.0,2520.0,3 Story,Row Inside,Above Average,5,Common Brick,Built Up,Hardwood,2,3,11,1853,Ward 2,2013.0,1
3,1,Warm Cool,1,4,1800.0,1964,846000.0,2610.0,3 Story,Row End,Above Average,3,Common Brick,Built Up,Hardwood,2,2,24,1971,Ward 2,2011.0,1
1,0,Hot Water Rad,0,1,1885.0,1967,499000.0,1104.0,2 Story,Semi-Detached,Above Average,4,Common Brick,Built Up,Hardwood/Carp,2,1,24,374,Ward 2,2010.0,1
4,0,Forced Air,1,5,1900.0,1972,1295000.0,2751.0,3 Story,Row End,Very Good,4,Common Brick,Built Up,Hardwood/Carp,3,2,24,1626,Ward 2,2012.0,1
3,0,Hot Water Rad,1,6,1885.0,1969,1255000.0,2196.0,3 Story,Row Inside,Good Quality,4,Common Brick,Built Up,Hardwood,2,3,24,1400,Ward 2,2012.0,1
4,2,Warm Cool,1,3,1907.0,1964,993500.0,1148.0,2 Story,Row Inside,Average,5,Common Brick,Built Up,Hardwood,1,1,11,814,Ward 2,2014.0,1
2,1,Warm Cool,1,4,1979.0,1990,1155000.0,1380.0,2 Story,Row Inside,Average,5,Common Brick,Built Up,Hardwood,2,2,24,1183,Ward 2,2013.0,1
2,1,Warm Cool,1,3,1979.0,1990,1363000.0,1380.0,2 Story,Row Inside,Average,4,Common Brick,Built Up,Hardwood,2,2,24,1320,Ward 2,2017.0,1
3,1,Warm Cool,1,4,1979.0,1990,1148000.0,1380.0,2 Story,Row Inside,Average,5,Common Brick,Built Up,Hardwood,2,2,24,1368,Ward 2,2010.0,1
2,1,Warm Cool,1,3,1906.0,1969,1280000.0,1630.0,2 Story,Row End,Good Quality,4,Common Brick,Built Up,Hardwood,1,2,11,1000,Ward 2,2014.0,1
2,1,Warm Cool,1,3,1908.0,1969,890000.0,1590.0,2 Story,Row Inside,Good Quality,4,Common Brick,Metal- Sms,Hardwood,1,0,11,1424,Ward 2,2012.0,1
3,1,Hot Water Rad,1,3,1908.0,1969,1345000.0,1590.0,2 Story,Row Inside,Good Quality,4,Common Brick,Metal- Sms,Hardwood,2,0,11,1424,Ward 2,2018.0,1
3,1,Hot Water Rad,1,3,1908.0,1967,1315000.0,1566.0,2 Story,Row Inside,Above Average,5,Common Brick,Metal- Sms,Hardwood,2,0,11,1424,Ward 2,2013.0,1
3,1,Hot Water Rad,0,5,1906.0,1972,1060000.0,2548.0,3 Story,Row Inside,Very Good,3,Common Brick,Metal- Sms,Hardwood,1,0,11,1627,Ward 2,2011.0,1
3,0,Hot Water Rad,0,3,1906.0,1963,979000.0,2443.0,3 Story,Row Inside,Very Good,3,Common Brick,Built Up,Hardwood,2,0,24,1627,Ward 2,2010.0,1
2,0,Warm Cool,1,3,1939.0,1985,865000.0,918.0,2 Story,Row Inside,Above Average,4,Common Brick,Slate,Hardwood,2,1,11,680,Ward 2,2015.0,1
2,0,Warm Cool,1,3,1939.0,1967,950000.0,918.0,2 Story,Row Inside,Above Average,4,Common Brick,Slate,Hardwood,1,1,11,652,Ward 2,2017.0,1
2,1,Warm Cool,1,2,1880.0,1967,799000.0,970.0,2 Story,Row End,Above Average,4,Common Brick,Comp Shingle,Hardwood,1,1,11,710,Ward 2,2012.0,1
2,0,Hot Water Rad,0,2,1885.0,1957,1050000.0,1440.0,2 Story,Row Inside,Above Average,3,Common Brick,Metal- Sms,Hardwood,1,3,11,1800,Ward 2,2014.0,1
2,1,Warm Cool,1,3,1900.0,1960,1330000.0,1780.0,2 Story,Row Inside,Good Quality,3,Stucco,Built Up,Hardwood,2,1,24,1800,Ward 2,2017.0,0
2,0,Warm Cool,1,3,1904.0,1969,650000.0,1281.0,3 Story,Row Inside,Good Quality,4,Brick/Stone,Built Up,Hardwood,1,1,11,421,Ward 1,2013.0,1
