BATHRM,HF_BATHRM,HEAT,AC,BEDRM,AYB,EYB,SALE_NUM,GBA,STYLE,STRUCT,GRADE,CNDTN,EXTWALL,ROOF,INTWALL,KITCHENS,FIREPLACES,USECODE,LANDAREA,WARD,SALEYEAR,RMDL,PRICE
2,1,Forced Air,1,3,1928.0,1964,1,1176.0,2 Story,Single,Average,4,Vinyl Siding,Comp Shingle,Hardwood,1,0,12,3750,Ward 7,2011.0,1,215000.0
3,1,Forced Air,1,4,2014.0,2015,3,1640.0,2 Story,Semi-Detached,Good Quality,5,Vinyl Siding,Metal- Sms,Hardwood,1,0,13,2961,Ward 4,2015.0,0,640000.0
2,1,Hot Water Rad,1,3,1900.0,1967,3,1116.0,2 Story,Row Inside,Above Average,4,Common Brick,Metal- Sms,Hardwood,1,0,11,730,Ward 6,2014.0,1,652000.0
3,1,Forced Air,1,4,1923.0,1972,3,1875.0,2 Story,Single,Above Average,4,Wood Siding,Comp Shingle,Hardwood,1,1,12,5000,Ward 4,2018.0,1,825000.0
3,1,Forced Air,1,4,2012.0,2014,1,1616.0,2 Story,Row Inside,Above Average,5,Vinyl Siding,Comp Shingle,Hardwood/Carp,1,0,11,2000,Ward 7,2012.0,0,250000.0
3,1,Forced Air,1,4,1925.0,1964,4,1184.0,2 Story,Row Inside,Average,4,Common Brick,Metal- Sms,Hardwood,1,0,11,1312,Ward 4,2018.0,1,650000.0
2,0,Forced Air,1,3,1926.0,1982,1,1381.0,2 Story,Row Inside,Average,5,Common Brick,Metal- Sms,Hardwood,1,0,11,1595,Ward 5,2011.0,1,390000.0
3,1,Forced Air,1,4,2017.0,2017,5,2400.0,2 Story,Semi-Detached,Average,5,Common Brick,Built Up,Hardwood,1,0,13,3178,Ward 8,2017.0,0,377000.0
2,1,Forced Air,1,3,1914.0,1969,7,1402.0,2 Story,Row Inside,Good Quality,5,Common Brick,Built Up,Hardwood,1,0,11,1498,Ward 6,2016.0,1,789900.0
3,1,Warm Cool,1,4,1933.0,1972,1,2504.0,2.5 Story Unfin,Single,Very Good,4,Common Brick,Slate,Hardwood,1,2,12,7437,Ward 4,2013.0,1,800000.0
3,1,Hot Water Rad,0,5,1932.0,1954,2,2853.0,2 Story,Single,Very Good,3,Common Brick,Slate,Hardwood,1,2,12,18915,Ward 4,2018.0,0,985000.0
2,1,Warm Cool,1,3,1953.0,1971,2,1650.0,2 Story,Single,Very Good,3,Common Brick,Comp Shingle,Hardwood,1,1,12,10800,Ward 4,2017.0,0,971620.0
1,1,Forced Air,1,3,1941.0,1957,1,1220.0,2.5 Story Unfin,Single,Above Average,4,Common Brick,Comp Shingle,Hardwood,1,0,12,5499,Ward 7,2012.0,1,335000.0
3,1,Forced Air,1,5,1910.0,1969,4,2376.0,3 Story,Row Inside,Good Quality,4,Common Brick,Metal- Sms,Hardwood/Carp,2,1,24,2376,Ward 1,2017.0,1,1245000.0
2,1,Forced Air,1,3,1952.0,1970,3,1140.0,2 Story,Semi-Detached,Average,5,Common Brick,Comp Shingle,Hardwood,1,0,13,4100,Ward 5,2018.0,1,586123.0
2,1,Forced Air,1,3,2006.0,2010,1,1320.0,2 Story,Semi-Detached,Above Average,6,Brick/Siding,Comp Shingle,Hardwood,1,0,13,3030,Ward 7,2010.0,0,319920.0
2,1,Hot Water Rad,0,4,1929.0,1969,1,2246.0,2.5 Story Fin,Single,Good Quality,4,Stone/Stucco,Slate,Hardwood,1,1,12,6588,Ward 4,2011.0,1,575000.0
2,0,Hot Water Rad,1,4,1909.0,1967,4,1336.0,2 Story,Row End,Above Average,4,Common Brick,Built Up,Hardwood,1,0,11,1292,Ward 5,2017.0,1,815000.0
2,1,Warm Cool,1,3,1940.0,1980,2,2261.0,2 Story,Single,Good Quality,4,Common Brick,Slate,Hardwood,2,1,12,5800,Ward 7,2015.0,1,525000.0
