BATHRM,HF_BATHRM,HEAT,AC,EYB,STYLE,STRUCT,GRADE,CNDTN,EXTWALL,ROOF,INTWALL,KITCHENS,FIREPLACES,LANDAREA,WARD,SALEYEAR,PRICE
4,0,Forced Air,1,1969,2 Story,Row Inside,Good Quality,Good,Common Brick,Built Up,Hardwood/Carp,1.0,3,1458,Ward 6,2013,700000.0
2,0,Hot Water Rad,0,1960,2 Story,Row Inside,Good Quality,Average,Common Brick,Metal- Sms,Wood Floor,2.0,0,1710,Ward 2,2016,1200000.0
2,0,Hot Water Rad,0,1947,2 Story,Row Inside,Above Average,Average,Common Brick,Metal- Sms,Hardwood,1.0,0,2466,Ward 4,2018,510000.0
5,0,Hot Water Rad,1,1985,2 Story,Multi,Average,Average,Common Brick,Built Up,Hardwood,5.0,0,4560,Ward 7,2017,470000.0
1,0,Warm Cool,1,1960,2 Story,Semi-Detached,Average,Average,Common Brick,Comp Shingle,Hardwood,1.0,0,1595,Ward 7,2015,140000.0
3,1,Warm Cool,1,2000,3 Story,Row Inside,Very Good,Very Good,Common Brick,Comp Shingle,Hardwood/Carp,1.0,2,1826,Ward 2,2017,1580000.0
2,0,Forced Air,1,1977,1 Story,Single,Above Average,Average,Common Brick,Comp Shingle,Hardwood/Carp,1.0,0,5125,Ward 7,2017,305000.0
3,1,Forced Air,1,1982,2 Story,Row Inside,Average,Very Good,Common Brick,Metal- Sms,Hardwood,2.0,1,1897,Ward 4,2013,680000.0
2,1,Warm Cool,1,1990,2 Story,Row Inside,Very Good,Average,Common Brick,Comp Shingle,Wood Floor,1.0,1,912,Ward 3,2015,600000.0
2,0,Hot Water Rad,0,1954,2 Story,Multi,Average,Average,Common Brick,Built Up,Hardwood,2.0,0,870,Ward 6,2013,235000.0
1,1,Hot Water Rad,0,1967,2 Story,Single,Above Average,Average,Common Brick,Slate,Hardwood,1.0,0,5003,Ward 5,2016,450000.0
2,1,Forced Air,1,1964,2 Story,Semi-Detached,Average,Good,Common Brick,Built Up,Hardwood,1.0,3,1438,Ward 4,2017,500000.0
2,0,Forced Air,1,1967,2 Story,Row Inside,Average,Good,Common Brick,Comp Shingle,Hardwood/Carp,1.0,0,1749,Ward 8,2016,306000.0
